ID          name                    gender    
----------  ----------------------  ----------
2           Angela Finngeirsdottir  F         
4           Elva Arnarsdottir       F         
12          Sunneva Angeludottir    F         
22          Louisa Arnarsdottir     F         
23          Benedikt Finngeirsson   M         
35          Finngeir Angeluson      M         
57          Geir Jansson            M         
87          Gunnar Geirsson         M         
90          Jana Benediktsdottir    F         
92          Louisa Elvudottir       F         
97          Geir Geirsson           M         
99          Karl Benediktsson       M         
120         Sunneva Sigurgeirsdott  F         
129         Karl Janussson          M         
135         Sigurgeir Janussson     M         
139         Janus Geirsson          M         
145         Benedikt Bergvinsson    M         
152         Jana Karlsdottir        F         
155         Karl Benediktsson       M         
160         Jana Karlsdottir        F         
176         Elva Bergvinsdottir     F         
178         Elva Benediktsdottir    F         
181         Jan Benediktsson        M         
185         Geir Sigurgeirsson      M         
187         Bergvin Gunnarsson      M         
194         Eva Gunnarsdottir       F         
196         Greta Karlsdottir       F         
