name                    gender    
----------------------  ----------
Angela Finngeirsdottir  F         
Hulda Finngeirsdottir   F         
Sigurgeir Geirsson      M         
Helga Geirsdottir       F         
Geir Geirsson           M         
Hulda Sigurgeirsdottir  F         
Elva Sigurgeirsdottir   F         
Benedikt Finngeirsson   M         
Helga Geirsdottir       F         
Jana Finngeirsdottir    F         
Sunneva Sigurgeirsdott  F         
Eva Sigurgeirsdottir    F         
Greta Geirsdottir       F         
Hulda Sigurgeirsdottir  F         
Jan Sigurgeirsson       M         
Benedikt Finngeirsson   M         
Jana Sigurgeirsdottir   F         
Elva Geirsdottir        F         
Jan Finngeirsson        M         
Sigurgeir Finngeirsson  M         
Jana Geirsdottir        F         
Benedikt Finngeirsson   M         
Louisa Finngeirsdottir  F         
Gunnar Geirsson         M         
Geir Finngeirsson       M         
Louisa Sigurgeirsdotti  F         
Geir Geirsson           M         
Helga Sigurgeirsdottir  F         
Angela Finngeirsdottir  F         
Helga Sigurgeirsdottir  F         
Janus Sigurgeirsson     M         
Benedikt Sigurgeirsson  M         
Sunneva Geirsdottir     F         
Karl Sigurgeirsson      M         
Jana Finngeirsdottir    F         
Sunneva Sigurgeirsdott  F         
Louisa Sigurgeirsdotti  F         
Finngeir Geirsson       M         
Hulda Sigurgeirsdottir  F         
Geir Geirsson           M         
Janus Geirsson          M         
Geir Finngeirsson       M         
Gunnar Sigurgeirsson    M         
Greta Finngeirsdottir   F         
Hulda Sigurgeirsdottir  F         
Helga Geirsdottir       F         
Finngeir Finngeirsson   M         
Finngeir Geirsson       M         
Geir Finngeirsson       M         
Sunneva Geirsdottir     F         
Gunnar Geirsson         M         
Geir Sigurgeirsson      M         
Helga Finngeirsdottir   F         
Finngeir Geirsson       M         
Karl Finngeirsson       M         
Karl Geirsson           M         
